Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 415,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/415,119th Congress (2025-2026),"To amend the Federal Election Campaign Act of 1971 to prohibit individuals holding Federal office from directly soliciting contributions to or on behalf of any political committee under such Act, and for other purposes.","Boyle, Brendan F. [Rep.-D-PA-2] (Introduced 01/15/2025)",Democratic,1/15/2025,House - House Administration,Referred to the House Committee on House Administration.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 414,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/414,119th Congress (2025-2026),"To require the Secretary of Homeland Security to strengthen student visa background checks and improve the monitoring of foreign students in the United States, and for other purposes.","Bilirakis, Gus M. [Rep.-R-FL-12] (Introduced 01/15/2025)",Republican,1/15/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 413,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/413,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to index dependent care assistance programs to inflation.,"Bice, Stephanie I. [Rep.-R-OK-5] (Introduced 01/15/2025)",Republican,1/15/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/15/2025,"Sánchez, Linda T. [Rep.-D-CA-38]","Feenstra, Randy [Rep.-R-IA-4]","Houlahan, Chrissy [Rep.-D-PA-6]","Moolenaar, John R. [Rep.-R-MI-2]","Nunn, Zachary [Rep.-R-IA-3]","Torres, Ritchie [Rep.-D-NY-15]","Magaziner, Seth [Rep.-D-RI-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 412,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/412,119th Congress (2025-2026),To authorize the Bay Mills Indian Community of the State of Michigan to convey land and interests in land owned by the Tribe.,"Bergman, Jack [Rep.-R-MI-1] (Introduced 01/15/2025)",Republican,1/15/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 411,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/411,119th Congress (2025-2026),To provide compensation to the Keweenaw Bay Indian Community for the taking without just compensation of land by the United States inside the exterior boundaries of the L'Anse Indian Reservation that were guaranteed to the Community under a treaty signed in 1854.,"Bergman, Jack [Rep.-R-MI-1] (Introduced 01/15/2025)",Republican,1/15/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 410,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/410,119th Congress (2025-2026),"To extend the Alaska Native Vietnam era veterans land allotment program, and for other purposes.","Begich, Nicholas [Rep.-R-AK-At Large] (Introduced 01/15/2025)",Republican,1/15/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 409,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/409,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to allow employers to deduct certain transportation fringe benefits.,"Auchincloss, Jake [Rep.-D-MA-4] (Introduced 01/15/2025)",Democratic,1/15/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/15/2025,"Lawler, Michael [Rep.-R-NY-17]","McGovern, James P. [Rep.-D-MA-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 408,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/408,119th Congress (2025-2026),To nullify the Presidential memoranda on the withdrawal of certain areas of the outer Continental Shelf from oil or natural gas leasing.,"Arrington, Jodey C. [Rep.-R-TX-19] (Introduced 01/15/2025)",Republican,1/15/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 407,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/407,119th Congress (2025-2026),To exclude the imposition of duties and import quotas from the authorities provided to the President under the International Emergency Economic Powers Act.,"DelBene, Suzan K. [Rep.-D-WA-1] (Introduced 01/15/2025)",Democratic,1/15/2025,"House - Foreign Affairs, Ways and Means","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/15/2025,"Beyer, Donald S. [Rep.-D-VA-8]","Panetta, Jimmy [Rep.-D-CA-19]","Schneider, Bradley Scott [Rep.-D-IL-10]","Chu, Judy [Rep.-D-CA-28]","Larson, John B. [Rep.-D-CT-1]","Sewell, Terri A. [Rep.-D-AL-7]","Horsford, Steven [Rep.-D-NV-4]","Salinas, Andrea [Rep.-D-OR-6]","Larsen, Rick [Rep.-D-WA-2]","Kennedy, Timothy M. [Rep.-D-NY-26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 406,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/406,119th Congress (2025-2026),"To amend the Higher Education Act of 1965 to require institutions of higher education, as a condition of participation in programs under title IV of such Act, to include a prohibition of antisemitic conduct in all documents relating to student or employee conduct.","Yakym, Rudy [Rep.-R-IN-2] (Introduced 01/15/2025)",Republican,1/15/2025,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,1/15/2025,"Scholten, Hillary J. [Rep.-D-MI-3]","Ciscomani, Juan [Rep.-R-AZ-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 405,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/405,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to exclude overtime compensation from gross income for purposes of the income tax.,"Fulcher, Russ [Rep.-R-ID-1] (Introduced 01/15/2025)",Republican,1/15/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/15/2025,"Rulli, Michael A. [Rep.-R-OH-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 404,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/404,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to remove silencers from the definition of firearms, and for other purposes.","Cline, Ben [Rep.-R-VA-6] (Introduced 01/15/2025)",Republican,1/15/2025,"House - Ways and Means, Judiciary","Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/15/2025,"Pfluger, August [Rep.-R-TX-11]","Estes, Ron [Rep.-R-KS-4]","Moore, Riley [Rep.-R-WV-2]","Bean, Aaron [Rep.-R-FL-4]","Tenney, Claudia [Rep.-R-NY-24]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Moore, Barry [Rep.-R-AL-1]","Nehls, Troy E. [Rep.-R-TX-22]","Owens, Burgess [Rep.-R-UT-4]","Thompson, Glenn [Rep.-R-PA-15]","Wittman, Robert J. [Rep.-R-VA-1]","Hudson, Richard [Rep.-R-NC-9]","Luna, Anna Paulina [Rep.-R-FL-13]","Cammack, Kat [Rep.-R-FL-3]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Perry, Scott [Rep.-R-PA-10]","Bost, Mike [Rep.-R-IL-12]","Bergman, Jack [Rep.-R-MI-1]","Finstad, Brad [Rep.-R-MN-1]","Collins, Mike [Rep.-R-GA-10]","Graves, Sam [Rep.-R-MO-6]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Fulcher, Russ [Rep.-R-ID-1]","Bilirakis, Gus M. [Rep.-R-FL-12]","McGuire, John [Rep.-R-VA-5]","Aderholt, Robert B. [Rep.-R-AL-4]","McDowell, Addison [Rep.-R-NC-6]","Harris, Andy [Rep.-R-MD-1]","Burchett, Tim [Rep.-R-TN-2]","Kustoff, David [Rep.-R-TN-8]","Timmons, William R. [Rep.-R-SC-4]","Loudermilk, Barry [Rep.-R-GA-11]","Crank, Jeff [Rep.-R-CO-5]","Griffith, H. Morgan [Rep.-R-VA-9]","Hern, Kevin [Rep.-R-OK-1]","Womack, Steve [Rep.-R-AR-3]","Babin, Brian [Rep.-R-TX-36]","Maloy, Celeste [Rep.-R-UT-2]","Comer, James [Rep.-R-KY-1]","Langworthy, Nicholas A. [Rep.-R-NY-23]","Issa, Darrell [Rep.-R-CA-48]","Obernolte, Jay [Rep.-R-CA-23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 403,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/403,119th Congress (2025-2026),"To enhance predisaster mitigation to prevent future natural disasters, and for other purposes.","Swalwell, Eric [Rep.-D-CA-14] (Introduced 01/14/2025)",Democratic,1/14/2025,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1/14/2025,"Norton, Eleanor Holmes [Del.-D-DC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 402,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/402,119th Congress (2025-2026),"To amend title 31, United States Code, to require the Secretary of the Treasury to appear before Congress before the debt limit is reached or extraordinary measures are taken to prevent default.","Schweikert, David [Rep.-R-AZ-1] (Introduced 01/14/2025)",Republican,1/14/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 401,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/401,119th Congress (2025-2026),To prohibit United States assessed and voluntary contributions to the World Health Organization.,"Roy, Chip [Rep.-R-TX-21] (Introduced 01/14/2025)",Republican,1/14/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/14/2025,"Higgins, Clay [Rep.-R-LA-3]","Biggs, Andy [Rep.-R-AZ-5]","Tenney, Claudia [Rep.-R-NY-24]","Ogles, Andrew [Rep.-R-TN-5]","Greene, Marjorie Taylor [Rep.-R-GA-14]","Moolenaar, John R. [Rep.-R-MI-2]","Norman, Ralph [Rep.-R-SC-5]","Burlison, Eric [Rep.-R-MO-7]","Harshbarger, Diana [Rep.-R-TN-1]","Fallon, Pat [Rep.-R-TX-4]","Moore, Barry [Rep.-R-AL-1]","Luna, Anna Paulina [Rep.-R-FL-13]","Hageman, Harriet M. [Rep.-R-WY-At Large]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 400,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/400,119th Congress (2025-2026),"To prohibit contributions to the United Nations Human Rights Council, and for other purposes.","Roy, Chip [Rep.-R-TX-21] (Introduced 01/14/2025)",Republican,1/14/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/14/2025,"Ogles, Andrew [Rep.-R-TN-5]","Rouzer, David [Rep.-R-NC-7]","Cline, Ben [Rep.-R-VA-6]","Harshbarger, Diana [Rep.-R-TN-1]","Biggs, Andy [Rep.-R-AZ-5]","Moore, Riley [Rep.-R-WV-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 399,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/399,119th Congress (2025-2026),To permanently extend the American Samoa economic development tax credit.,"Radewagen, Aumua Amata Coleman [Del.-R-AS] (Introduced 01/14/2025)",Republican,1/14/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 398,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/398,119th Congress (2025-2026),To amend the Geothermal Steam Act of 1970 to provide cost-recovery authority for the Department of the Interior.,"Ocasio-Cortez, Alexandria [Rep.-D-NY-14] (Introduced 01/14/2025)",Democratic,1/14/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 397,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/397,119th Congress (2025-2026),"To designate the facility of the United States Postal Service located at 216 Cumberland Street in Rochester, New York, as the ""Minister Franklin Florence Memorial Post Office"".","Morelle, Joseph D. [Rep.-D-NY-25] (Introduced 01/14/2025)",Democratic,1/14/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/14/2025,"Garbarino, Andrew R. [Rep.-R-NY-2]","Meeks, Gregory W. [Rep.-D-NY-5]","Malliotakis, Nicole [Rep.-R-NY-11]","Lawler, Michael [Rep.-R-NY-17]","Tenney, Claudia [Rep.-R-NY-24]","Ryan, Patrick [Rep.-D-NY-18]","Goldman, Daniel S. [Rep.-D-NY-10]","Tonko, Paul [Rep.-D-NY-20]","Meng, Grace [Rep.-D-NY-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 396,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/396,119th Congress (2025-2026),"To require Members of Congress and their spouses and dependent children to place certain assets into blind trusts, and for other purposes.","Magaziner, Seth [Rep.-D-RI-2] (Introduced 01/14/2025)",Democratic,1/14/2025,House - House Administration,Referred to the House Committee on House Administration.,1/14/2025,"Roy, Chip [Rep.-R-TX-21]","Adams, Alma S. [Rep.-D-NC-12]","Beyer, Donald S. [Rep.-D-VA-8]","Casar, Greg [Rep.-D-TX-35]","Ciscomani, Juan [Rep.-R-AZ-6]","Cleaver, Emanuel [Rep.-D-MO-5]","Craig, Angie [Rep.-D-MN-2]","Crane, Elijah [Rep.-R-AZ-2]","Crow, Jason [Rep.-D-CO-6]","Davids, Sharice [Rep.-D-KS-3]","DelBene, Suzan K. [Rep.-D-WA-1]","Deluzio, Christopher R. [Rep.-D-PA-17]","Garcia, Robert [Rep.-D-CA-42]","Golden, Jared F. [Rep.-D-ME-2]","Gottheimer, Josh [Rep.-D-NJ-5]","Houlahan, Chrissy [Rep.-D-PA-6]","Huffman, Jared [Rep.-D-CA-2]","Johnson, Dusty [Rep.-R-SD-At Large]","Keating, William R. [Rep.-D-MA-9]","Kim, Young [Rep.-R-CA-40]","Landsman, Greg [Rep.-D-OH-1]","Lawler, Michael [Rep.-R-NY-17]","Leger Fernandez, Teresa [Rep.-D-NM-3]","Levin, Mike [Rep.-D-CA-49]","Mace, Nancy [Rep.-R-SC-1]","McCollum, Betty [Rep.-D-MN-4]","Mrvan, Frank J. [Rep.-D-IN-1]","Murphy, Gregory F. [Rep.-R-NC-3]","Nadler, Jerrold [Rep.-D-NY-12]","Neguse, Joe [Rep.-D-CO-2]","Norton, Eleanor Holmes [Del.-D-DC]","Perez, Marie Gluesenkamp [Rep.-D-WA-3]","Perry, Scott [Rep.-R-PA-10]","Pettersen, Brittany [Rep.-D-CO-7]","Pocan, Mark [Rep.-D-WI-2]","Salinas, Andrea [Rep.-D-OR-6]","Sherrill, Mikie [Rep.-D-NJ-11]","Sorensen, Eric [Rep.-D-IL-17]","Stanton, Greg [Rep.-D-AZ-4]","Stevens, Haley M. [Rep.-D-MI-11]","Titus, Dina [Rep.-D-NV-1]","Tonko, Paul [Rep.-D-NY-20]","Vasquez, Gabe [Rep.-D-NM-2]","Williams, Nikema [Rep.-D-GA-5]","Mackenzie, Ryan [Rep.-R-PA-7]","Pappas, Chris [Rep.-D-NH-1]","Hoyle, Val T. [Rep.-D-OR-4]","Friedman, Laura [Rep.-D-CA-30]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 395,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/395,119th Congress (2025-2026),To require mandatory minimums for sexual abuse.,"Luna, Anna Paulina [Rep.-R-FL-13] (Introduced 01/14/2025)",Republican,1/14/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/14/2025,"Miller, Mary E. [Rep.-R-IL-15]","Gill, Brandon [Rep.-R-TX-26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 394,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/394,119th Congress (2025-2026),To increase penalties for child pornography.,"Luna, Anna Paulina [Rep.-R-FL-13] (Introduced 01/14/2025)",Republican,1/14/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/14/2025,"Miller, Mary E. [Rep.-R-IL-15]","Gill, Brandon [Rep.-R-TX-26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 393,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/393,119th Congress (2025-2026),To increase penalties for crimes against children.,"Luna, Anna Paulina [Rep.-R-FL-13] (Introduced 01/14/2025)",Republican,1/14/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/14/2025,"Miller, Mary E. [Rep.-R-IL-15]","Gill, Brandon [Rep.-R-TX-26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 392,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/392,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to create a tax credit for nurse preceptors.,"Kiggans, Jennifer A. [Rep.-R-VA-2] (Introduced 01/14/2025)",Republican,1/14/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/14/2025,"Tenney, Claudia [Rep.-R-NY-24]","Joyce, David P. [Rep.-R-OH-14]","Costa, Jim [Rep.-D-CA-21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
